input_1	Gold	Pred	Gold_Label	Predicted_Label
i feel very thankful for everything that i have, i live a really good life in my liking	17	17	grateful	grateful
My dog puked on the carpet a few weeks ago, it was disgusting.	12	12	disgusted	disgusted
I battled the crowds at the huge store in town and I won!  The kids are ready for school tomorrow!	25	25	prepared	prepared
At a meditation retreat I felt better than ever	22	9	joyful	content
I'm always doing things to take care of the future	25	25	prepared	prepared
My dog just gave me a bunch of kisses!	17	22	grateful	joyful
It really put me at ease when I got my first paycheck from my new job that included a bonus. I knew that I'd be able to cover my monthly expenses as well as get to buy some nice things for myself.	9	29	content	surprised
I'm so close to obtaining my associate's. I only have three more classes to take. I've been at it since 2011 (!), but I just got serious in 2016.	26	26	proud	proud
The other day I installed Everquest. A video game i played as a teen. I played it for several weeks.	24	24	nostalgic	nostalgic
At work today, all my coworkers sang me happy birthday. It was so nice of them!	22	29	joyful	surprised
I recently had my hair cut for the first time in years. It's not perfect, but in the end, my hair looks much thicker and healthier, so I'm happy.	9	8	content	confident
I have been sick the last week and my wife has made my chicken broth soup every day!	7	17	caring	grateful
I made sure i had everything set up before i went abroad. It is sort of a habit for me to make sure things are intact	25	25	prepared	prepared
I've been trying really hard to get a promotion at my company but they just hired someone to fill that spot from outside of the company.	21	11	jealous	disappointed
i was proud to see my kid winning in painting competition.. she seems like a born artist	26	20	proud	impressed
I talked with my student adviser the other day. I didnt realize I only had 7 months until I graduate and start my new career.	19	4	hopeful	anxious
My wife went out of the country for school for 2 months at the beginning of the summer.  Dropping her off at the airport was really hard.	27	23	sad	lonely
hopefully some orphan uses it wisely.	34	34	encouraging	encouraging
I found an old picture of my Great Grandparents when they were first married.  I rembeber both of them fondly.	28	28	sentimental	sentimental
I was jealous when my girlfriend was talking to other guys	21	21	jealous	jealous
i understand.	32	32	agreeing	agreeing
My coworker forgot to turn in the paperwork to switch our on call weeks. He ended up costing me $250! I'm so mad!!!	16	16	furious	furious
I remember being on holiday and trying to find a way to watch an F1 race. I caught the beginning of the race in a bar before it closed and saw that my favourite driver had had a puncture and fallen to last place. My mate asked me what the chances were of him winning from that position? I said 1000 to 1. By the time we were back at the hostel, I learned that he had indeed won the race in what many believe was the greatest single event in the sport's history!	29	20	surprised	impressed
I have a feeling that I'll be doing much better with college homework this semester!	19	8	hopeful	confident
Yesterday I remembered the anniversary of my mother's death, something hard, hard to remember	27	10	sad	devastated
My husband and I are going on a cruise with another couple that we have been friends with for years. We let them book the cruise and we just give them so much money each month, until the cruise is paid for. It takes all the stress of booking/planning away for me, and we can just enjoy the cruise when its time.	31	31	trusting	trusting
The Ryder Cup golf tournament is coming up in September and I can't wait. I've been watching this tournament since I was a kid and love the format.	14	3	excited	anticipating
I was at the gym doing some close grip bench presses and it felt so easy	25	8	prepared	confident
i really makes me jelous when i say that my neighboor had a new bmw 2018	21	21	jealous	jealous
I came home from work today and my wife had a new puppy waiting for me.	29	29	surprised	surprised
The other day was really just one of those off days. I couldn't get myself together that day. I went to the store and looked like I was drinking, which I dont, because I kept running into everything.	13	23	embarrassed	lonely
i really hate seeing people throw trash on the street like if it was a natural thing to do	1	12	angry	disgusted
My transmission in my car went out the other day, maybe it won't be too expensive to repair.	19	19	hopeful	hopeful
I was so happy the day I learned I was pregnant with our first child!	22	22	joyful	joyful
Even though I failed my driving test 2 times, I was encouraged and passed on my third try!	19	26	hopeful	proud
aww were you excited when you picked her up?	38	38	questioning	questioning
I took a test for college the other day, basically our midterm. It kills me waiting for it to be graded.	3	4	anticipating	anxious
School for my kids started this past Thursday. I actually had all of their supplies and plenty of new clothes in time.	25	25	prepared	prepared
thats great, perfect time to unwind and relax, and earn money!	33	33	acknowledging	acknowledging
My computer crashed while I was working on a project.	1	2	angry	annoyed
I was browsing through my old cd collection and found a bunch of old pc games i used to play. Some of the classics like command and conquer, age of empires, warcraft.	24	24	nostalgic	nostalgic
I had a friend's boyfriend that hit on me, even though I am also married, and he was with my good friend for 5 years! He makes me sick!	12	21	disgusted	jealous
When I moved in to my new apartment, a cat would come every night begging for food. I eventually adopted him.	7	7	caring	caring
i really like going to disneyland, im planning a trip there for next summer vacation with my family	22	3	joyful	anticipating
I was ready for the first time I got into a car crash. I had everything I needed perfectly read	25	25	prepared	prepared
I had decided to go visit my brother out of state by driving, but as soon as I got on the road it started snowing heavily.  The farther I drove the worse the snow got, and I was unprepared for it.  I was in a very rural area, hundreds of miles from a major city, and the snow started covering up the road such that I couldn't even see the lines or where the ditch started.  I ended up turning back and cancelling the trip.	0	11	afraid	disappointed
My friend asked me to help clean his grandma's house after she had died. She was a hoarder, and kept 10 cats in the house with her. The house was covered in paper, bugs and cat feces.	12	12	disgusted	disgusted
I was sad when my parents left me	27	27	sad	sad
One time I had a job interview that went really well. I was positive that they liked me and were going to hire me.	19	8	hopeful	confident
I feel like the rest of this year is going to be really good to me. I just have a feeling.	19	19	hopeful	hopeful
My son got a cool remote control car for his birthday. It was really cool. After he went to bed I took it outside and played with it for a while.	21	20	jealous	impressed
We recently was able to purchase a new home. We have been saving money for 4 years to be able to afford the home of our dreams. We are really thankful that we got it.	17	9	grateful	content
I went jumping out of an airplane once. It was one of the most crazy things I have ever done.	30	30	terrified	terrified
Today I am happy, we go with my children to the movies and then to eat pizza	25	22	prepared	joyful
When I was 10 years old I watched the film "The Grudge" and was so scared of the dark that I couldn't navigate around my own house.	0	30	afraid	terrified
My son was in advanced placement and honors class in high school. Once he graduated, he was accepted at a very good college and is going to be an Aerospace Engineer. I really astonished at how well he does, and admire his intelligence and hard work.	20	20	impressed	impressed
I long for the good old days, when I was carefree and happy. The sun always shone, I had cash in my pocket and plenty of time for the things I love to do.	24	24	nostalgic	nostalgic
maybe she'll regret how she treated you.	37	37	suggesting	suggesting
I was able to go back home for a few weeks recently. It was wonderful I haven't felt that relaxed in a long time.	9	9	content	content
My cat puked up a hairball this morning and I had to clean it up.	12	12	disgusted	disgusted
I spent a while the other day framing the Guest Puzzle we used at our wedding as a guest book.	28	28	sentimental	sentimental
My father went to the hospital for abdominal pain. They found a tumor, but the operation to remove it went well. He passed away suddenly a few days after.	10	10	devastated	devastated
ooh, very nice suprize!	33	33	acknowledging	acknowledging
My friend has been couch surfing for a few weeks. He has been getting under my skin.	2	21	annoyed	jealous
After years of trying and failing, I had to change and become better. Now I am ready to take on any life challenge and survive	25	8	prepared	confident
I cannot wait to go travel! I have an upcoming trip to Madagascar	3	14	anticipating	excited
I was really looking forward to our family vacation to California this year. I love spending the holidays in new places.	3	3	anticipating	anticipating
The last time I went into a job interview, I knew as soon as I walked out that I would be getting a job offer. I felt I did really well.	8	8	confident	confident
I had an interview for my dream job. I felt sure I would get it, but I didn't in the end.	8	11	confident	disappointed
well, it was a very smart thing you did packing those extra supplies.	40	40	neutral	neutral
I remember when I was a kid and in the summertime I used to catch fireflies and place them in a jar by my bedside at night.	24	24	nostalgic	nostalgic
We just adopted a dog from the shelter and I think she is sick with Parvo. We are taking her to the vet tomorrow to see.	28	19	sentimental	hopeful
I had to stay home and work while All my friend got to go to colorado to skii. Not only was I missing out on the fun but I was lonely with nothing to do.	23	23	lonely	lonely
I just figured out how to consistently generate high quality serves in tennis. My friend has been working with me on the weekends to get the right motion and power down.	17	8	grateful	confident
I was in the grocery store and dropped a can of pasta sauce and it made a huge mess.	13	12	embarrassed	disgusted
well i hope you found a good job somewhere.	34	35	encouraging	consoling
congratulations!	39	39	Wishing	Wishing
My wife is coming back home after being out of the country for 2 months.	14	14	excited	excited
Tomorrow I start my new job teaching kids. I really hope it goes well!	4	19	anxious	hopeful
I close on my new house Monday, I didn't think I was going to be able to purchase it but I believed in my mortgage adviser.	31	19	trusting	hopeful
Spiders make me scared to my bones i cannot see them anywhere does not matter if it is in a picture	30	30	terrified	terrified
I've been so upset lately, the house has been a mess and my husband hasn't been helping clean.	1	1	angry	angry
I have felt some of the best moments of pure happiness seeing someone I love getting something they want. A job, and acceptance to college, any kind of goal.	22	22	joyful	joyful
i'll pray for you if that's okay and  then maybe you will get it, but if not, maybe something even better will come along.	37	35	suggesting	consoling
wow i'm so sorry.	36	36	sympathizing	sympathizing
One time i had a interview for a job I didn't feel qualified for. I felt pretty nervous going into it	5	5	apprehensive	apprehensive
i wish you the best of luck with your new diet.	39	39	Wishing	Wishing
that is so sad i hope your pet gets better	34	35	encouraging	consoling
congratulations!	39	39	Wishing	Wishing
I recently found out that a good friend of mine has been cheating on her fiance with multiple different men for years. I was aghast and horrified that she would behave this way and even more upset that she tried to justify the behavior.	12	15	disgusted	faithful
I was devastated when my dog died	10	10	devastated	devastated
I had to do a talk and tried to tell an amusing story to break the ice.  It apparently wasn't amusing in the slightest and everyone just stared at me.	13	13	embarrassed	embarrassed
