input	Gold	Pred	Gold_Label	Predicted_Label
i feel very thankful for everything that i have, i live a really good life in my liking	17	9	grateful	content
My dog puked on the carpet a few weeks ago, it was disgusting.	12	12	disgusted	disgusted
I battled the crowds at the huge store in town and I won! The kids are ready for school tomorrow!	25	25	prepared	prepared
At a meditation retreat I felt better than ever	22	9	joyful	content
I'm always doing things to take care of the future	25	7	prepared	caring
My dog just gave me a bunch of kisses!	17	22	grateful	joyful
It really put me at ease when I got my first paycheck from my new job that included a bonus. I knew	9	8	content	confident
I'm so close to obtaining my associate's. I only have three more classes to take. I've been at it si	26	8	proud	confident
The other day I installed Everquest. A video game i played as a teen. I played it for several weeks.	24	24	nostalgic	nostalgic
At work today, all my coworkers sang me happy birthday. It was so nice of them!	22	22	joyful	joyful
I recently had my hair cut for the first time in years. It's not perfect, but in the end, my hair lo	9	8	content	confident
I have been sick the last week and my wife has made my chicken broth soup every day!	7	17	caring	grateful
I made sure i had everything set up before i went abroad. It is sort of a habit for me to make sure	25	25	prepared	prepared
I've been trying really hard to get a promotion at my company but they just hired someone to fill th	21	21	jealous	jealous
i was proud to see my kid winning in painting competition.. she seems like a born artist	26	20	proud	impressed
I talked with my student adviser the other day. I didnt realize I only had 7 months until I graduate	19	29	hopeful	surprised
My wife went out of the country for school for 2 months at the beginning of the summer. Dropping he	27	23	sad	lonely
hopefully some orphan uses it wisely.	34	35	encouraging	consoling
I found an old picture of my Great Grandparents when they were first married. I rembeber both of th	28	28	sentimental	sentimental
I was jealous when my girlfriend was talking to other guys	21	21	jealous	jealous
i understand.	32	32	agreeing	agreeing
My coworker forgot to turn in the paperwork to switch our on call weeks. He ended up costing me $250	16	16	furious	furious
I remember being on holiday and trying to find a way to watch an F1 race. I caught the beginning of	29	24	surprised	nostalgic
I have a feeling that I'll be doing much better with college homework this semester!	19	8	hopeful	confident
Yesterday I remembered the anniversary of my mother's death, something hard, hard to remember	27	28	sad	sentimental
My husband and I are going on a cruise with another couple that we have been friends with for years.	31	15	trusting	faithful
The Ryder Cup golf tournament is coming up in September and I can't wait. I've been watching this to	14	14	excited	excited
I was at the gym doing some close grip bench presses and it felt so easy	25	8	prepared	confident
i really makes me jelous when i say that my neighboor had a new bmw 2018	21	21	jealous	jealous
I came home from work today and my wife had a new puppy waiting for me.	29	22	surprised	joyful
The other day was really just one of those off days. I couldn't get myself together that day. I went	13	23	embarrassed	lonely
i really hate seeing people throw trash on the street like if it was a natural thing to do	1	12	angry	disgusted
My transmission in my car went out the other day, maybe it won't be too expensive to repair.	19	19	hopeful	hopeful
I was so happy the day I learned I was pregnant with our first child!	22	22	joyful	joyful
Even though I failed my driving test 2 times, I was encouraged and passed on my third try!	19	26	hopeful	proud
aww were you excited when you picked her up?	38	38	questioning	questioning
I took a test for college the other day, basically our midterm. It kills me waiting for it to be gra	3	4	anticipating	anxious
School for my kids started this past Thursday. I actually had all of their supplies and plenty of ne	25	25	prepared	prepared
thats great, perfect time to unwind and relax, and earn money!	33	33	acknowledging	acknowledging
My computer crashed while I was working on a project.	1	10	angry	devastated
I was browsing through my old cd collection and found a bunch of old pc games i used to play. Some o	24	24	nostalgic	nostalgic
I had a friend's boyfriend that hit on me, even though I am also married, and he was with my good fr	12	15	disgusted	faithful
When I moved in to my new apartment, a cat would come every night begging for food. I eventually ado	7	7	caring	caring
i really like going to disneyland, im planning a trip there for next summer vacation with my family	22	14	joyful	excited
I was ready for the first time I got into a car crash. I had everything I needed perfectly read	25	25	prepared	prepared
I had decided to go visit my brother out of state by driving, but as soon as I got on the road it st	0	2	afraid	annoyed
My friend asked me to help clean his grandma's house after she had died. She was a hoarder, and kept	12	7	disgusted	caring
I was sad when my parents left me	27	27	sad	sad
One time I had a job interview that went really well. I was positive that they liked me and were goi	19	19	hopeful	hopeful
I feel like the rest of this year is going to be really good to me. I just have a feeling.	19	19	hopeful	hopeful
My son got a cool remote control car for his birthday. It was really cool. After he went to bed I to	21	29	jealous	surprised
We recently was able to purchase a new home. We have been saving money for 4 years to be able to aff	17	20	grateful	impressed
I went jumping out of an airplane once. It was one of the most crazy things I have ever done.	30	30	terrified	terrified
Today I am happy, we go with my children to the movies and then to eat pizza	25	22	prepared	joyful
When I was 10 years old I watched the film "The Grudge" and was so scared of the dark that I couldn'	0	30	afraid	terrified
My son was in advanced placement and honors class in high school. Once he graduated, he was accepted	20	26	impressed	proud
I long for the good old days, when I was carefree and happy. The sun always shone, I had cash in my	24	22	nostalgic	joyful
maybe she'll regret how she treated you.	37	37	suggesting	suggesting
I was able to go back home for a few weeks recently. It was wonderful I haven't felt that relaxed in	9	9	content	content
My cat puked up a hairball this morning and I had to clean it up.	12	12	disgusted	disgusted
I spent a while the other day framing the Guest Puzzle we used at our wedding as a guest book.	28	28	sentimental	sentimental
My father went to the hospital for abdominal pain. They found a tumor, but the operation to remove i	10	17	devastated	grateful
ooh, very nice suprize!	33	33	acknowledging	acknowledging
